texto,label,label_id,confianza,decision_src,keywords_match,producto,marca,categoria,fuente,precio_usd,sku,vector_idx,label_pred,p_vigente,p_en_riesgo,p_obsoleto,r_j
"Gabinete Cooler Master Masterbox MB520 Mesh, Mini-ITX / Micro-ATX /ATX/SSI CEB, Panel lateral vidrio templado, sin fuente, blanco | marca: Cooler Master | categoria: CASE | fuente: coolbox_pe | precio: 117.07 USD",VIGENTE,0,0.4,default,,"Gabinete Cooler Master Masterbox MB520 Mesh, Mini-ITX / Micro-ATX /ATX/SSI CEB, Panel lateral vidrio templado, sin fuente, blanco",Cooler Master,CASE,coolbox_pe,117.07,10041873,67,VIGENTE,0.9983,0.0009,0.0007,0.0012
"Gabinete Antryx Xtreme Neo II Black, incluye 2 ventiladores Chrome Storm, panel lateral de vidrio templado, con fuente B500w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 79.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme Neo II Black, incluye 2 ventiladores Chrome Storm, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,coolbox_pe,79.73,10047308,68,VIGENTE,0.9984,0.0009,0.0007,0.0012
"Gabinete Antryx RX-450, ATX/Full ATX/Micro ATX, ventilador ARGB/cinta LED, Panel lateral vidrio templado, sin fuente, negro | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 79.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-450, ATX/Full ATX/Micro ATX, ventilador ARGB/cinta LED, Panel lateral vidrio templado, sin fuente, negro",Antryx,CASE,coolbox_pe,79.73,10041867,69,VIGENTE,0.9984,0.0009,0.0007,0.0012
"Gabinete Antryx RX-260 WHITE, USB3.0, FRGB FAN X4, panel lateral de vidrio templado | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 63.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-260 WHITE, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,coolbox_pe,63.73,10051007,70,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Gabinete Antryx Xtreme Micro XM-310 Black, USB 3.0, con fuente B500w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 66.4 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme Micro XM-310 Black, USB 3.0, con fuente B500w",Antryx,CASE,coolbox_pe,66.4,10047318,71,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Gabinete Antryx Xtreme E250 Plus Black, USB 3.0, con fuente B450w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 119.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme E250 Plus Black, USB 3.0, con fuente B450w",Antryx,CASE,coolbox_pe,119.73,10047317,72,VIGENTE,0.9983,0.0009,0.0009,0.0013
"Gabinete Antryx FX Cruiser Black, incluye 3 ventiladores ARGB, panel lateral de vidrio templado, malla frontal, sin fuente | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 106.4 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx FX Cruiser Black, incluye 3 ventiladores ARGB, panel lateral de vidrio templado, malla frontal, sin fuente",Antryx,CASE,coolbox_pe,106.4,10047311,73,VIGENTE,0.9983,0.0008,0.0009,0.0013
"Gabinete Antryx RX-430U Black, incluye 1 ventiladores ARGB + barra de luz ARGB, panel lateral de vidrio templado, con fuente B600w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 93.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-430U Black, incluye 1 ventiladores ARGB + barra de luz ARGB, panel lateral de vidrio templado, con fuente B600w",Antryx,CASE,coolbox_pe,93.07,10047306,74,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Gabinete Antryx Xtreme Slim Micro ATX/Mini-ITX, con fuente 300W | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 53.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme Slim Micro ATX/Mini-ITX, con fuente 300W",Antryx,CASE,coolbox_pe,53.07,10042971,75,VIGENTE,0.9984,0.0009,0.0007,0.0012
"Gabinete Antryx Xtreme NC-253 Black, incluye una barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 79.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme NC-253 Black, incluye una barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,coolbox_pe,79.73,10047309,76,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Gabinete Antryx RX-430U Black USB 3.0, incluye 1 ventiladores ARGB, barra de luz ARGB, panel lateral de vidrio templado, sin fuente | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 69.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-430U Black USB 3.0, incluye 1 ventiladores ARGB, barra de luz ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,coolbox_pe,69.07,10047315,77,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Gabinete Antryx RX-460 white, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 79.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-460 white, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,coolbox_pe,79.73,10047310,78,VIGENTE,0.9984,0.0009,0.0008,0.0012
"Gabinete Antryx Xtreme Slim XS-120 MATX USB 3.0, panel con proceso de estampado, con fuente 350W | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 66.4 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme Slim XS-120 MATX USB 3.0, panel con proceso de estampado, con fuente 350W",Antryx,CASE,coolbox_pe,66.4,10051009,79,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Gabinete Antryx RX-460 Mesh Black USB 3.0, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 71.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-460 Mesh Black USB 3.0, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,coolbox_pe,71.73,10047314,80,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Gabinete Antryx Xtreme NC-257 Black, 1 ventilador ARGB, barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 87.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Xtreme NC-257 Black, 1 ventilador ARGB, barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,coolbox_pe,87.73,10047312,81,VIGENTE,0.9983,0.0009,0.0007,0.0012
